#mu               sigma
0.537307            0.709405
0.514281            0.689702
0.49404            0.694768
0.471682            0.708681
0.486509            0.709201
0.505734            0.749897
0.493259            0.739748
0.493259            0.739748
0.535385            0.745817
0.49889            0.788038
0.499967            0.837883
0.539674            0.869387
0.511955            0.844929
0.465856            0.811725
0.481895            0.789416
0.512965            0.788556
0.488671            0.749247
0.49347            0.773788
0.444251            0.751252
0.412886            0.738758
0.426083            0.754484
0.416547            0.744458
0.453677            0.750171
0.439235            0.733531
0.444398             0.70115
0.415579            0.743014
0.444474             0.71024
0.397323            0.725573
0.409191            0.771623
0.42651            0.735984
0.42633            0.771478
0.40277            0.806194
0.390551            0.798343
0.352152            0.793735
0.330908            0.798648
0.370845            0.828911
0.351408            0.839172
0.386283            0.812068
0.363627            0.765988
0.410012            0.719224
0.444525            0.703943
0.471612            0.738086
0.481297            0.786445
0.447052            0.755131
0.405643            0.718607
0.365988            0.738425
0.36551            0.716791
0.334315            0.701348
0.360894            0.660852
0.396833             0.61381
0.350447             0.60538
0.380332            0.644733
0.397025            0.660527
0.425852             0.66567
0.392906            0.627414
0.4074            0.586782
0.426266            0.563741
0.391409            0.611071
0.400701            0.638156
0.41615            0.674532
0.391785             0.71414
0.40379            0.703809
0.395053            0.695386
0.407967            0.694875
0.388198            0.646598
