# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
#blocco numero 1
     3.67696   0.0295119   0.0445011   0.0061306
     3.86552   0.0221953   0.0416699  0.00589278
     4.05408  0.00785674   0.0424663  0.00757281
     4.24264   0.0279896   0.0258567  0.00378408
      4.4312  0.00343732    0.020182  0.00413852
     4.61976  0.00115396   0.0178403  0.00421855
     4.80833           0   0.0116547  0.00492686
     4.99689           0    0.024161   0.0103862
     5.18545           0  0.00385165  0.00138065
     5.37401           0  0.00846134  0.00373223
     5.56257           0   0.0118895  0.00464194
#blocco numero 17
   0.0942809 0.000122762  0.00488013  0.00107795
    0.282843    0.022269   0.0407785  0.00596491
    0.471405   0.0853684    0.128175   0.0201659
    0.659966    0.123916    0.194015   0.0174489
    0.848528    0.255197    0.303445   0.0125729
     1.03709    0.516826    0.431771   0.0137606
     1.22565    0.502856    0.465623   0.0119717
     1.41421    0.580245    0.486719   0.0171798
     1.60278    0.408158    0.481933   0.0152478
     1.79134     0.38115    0.447297   0.0107218
      1.9799    0.465193    0.425243    0.014919
     2.16846    0.298212    0.367509     0.01817
     2.35702    0.325343    0.323439   0.0166927
     2.54558    0.280044     0.25127   0.0204871
     2.73415    0.231995    0.205902  0.00980002
     2.92271    0.234475    0.177427   0.0130738
     3.11127    0.205503    0.135909    0.012476
     3.29983    0.200249   0.0938924   0.0085235
     3.48839   0.0951893   0.0600839  0.00771093
     3.67696   0.0766278   0.0463909  0.00605425
     3.86552   0.0112204   0.0398787  0.00581199
     4.05408   0.0031427   0.0401532  0.00747228
     4.24264           0   0.0243357  0.00385506
      4.4312           0   0.0189948  0.00406178
     4.61976           0   0.0167909  0.00409885
     4.80833           0   0.0109691   0.0046845
     4.99689           0   0.0227398  0.00987201
     5.18545           0  0.00362508   0.0013179
     5.37401           0  0.00796362  0.00354572
     5.56257           0   0.0111901  0.00442126
#blocco numero 18
   0.0942809  0.00390382  0.00482589  0.00101943
    0.282843   0.0439978   0.0409574  0.00563621
    0.471405     0.12534    0.128017   0.0190462
    0.659966    0.162659    0.192273   0.0165662
    0.848528    0.224506     0.29906   0.0126161
     1.03709    0.431114    0.431735   0.0129961
     1.22565    0.489131    0.466929   0.0113776
     1.41421    0.498584    0.487379    0.016238
     1.60278     0.43929    0.479564   0.0145836
     1.79134    0.406488     0.44503    0.010363
      1.9799    0.398091    0.423735   0.0141662
     2.16846    0.416727    0.370244   0.0173651
     2.35702    0.516433    0.334161   0.0188976
     2.54558    0.315203    0.254822   0.0196544
     2.73415    0.196566    0.205383  0.00926929
     2.92271    0.281762    0.183223   0.0135718
     3.11127    0.128188     0.13548   0.0117903
     3.29983   0.0659721   0.0923413   0.0081899
     3.48839     0.07157    0.060722  0.00730891
     3.67696   0.0487118   0.0465198  0.00571927
     3.86552   0.0336367    0.039532  0.00549944
     4.05408  0.00542606   0.0382239  0.00730197
     4.24264           0   0.0229837  0.00387071
      4.4312           0   0.0179396  0.00397085
     4.61976           0   0.0158581  0.00397587
     4.80833           0   0.0103597  0.00446371
     4.99689           0   0.0214765  0.00940405
     5.18545           0  0.00342368  0.00125997
     5.37401           0  0.00752119  0.00337623
     5.56257           0   0.0105684  0.00421911
#blocco numero 19
   0.0942809  0.00299538  0.00472955 0.000970316
    0.282843   0.0432121    0.041076  0.00534082
    0.471405    0.104053    0.126756   0.0180854
    0.659966    0.200617    0.192712   0.0157001
    0.848528    0.284463    0.298291   0.0119754
     1.03709    0.432244    0.431762   0.0123121
     1.22565    0.507816    0.469081   0.0109804
     1.41421     0.56598    0.491515   0.0159016
     1.60278     0.35979     0.47326   0.0151172
     1.79134    0.452671    0.445432  0.00982541
      1.9799     0.38719    0.421811   0.0135506
     2.16846    0.292443    0.366149    0.016927
     2.35702    0.401971     0.33773   0.0182369
     2.54558     0.29615    0.256997     0.01874
     2.73415    0.266957    0.208624  0.00933078
     2.92271    0.325785    0.190726   0.0147868
     3.11127    0.187973    0.138242   0.0114889
     3.29983   0.0826677   0.0918321  0.00777466
     3.48839   0.0535486   0.0603444  0.00693397
     3.67696   0.0196173   0.0451039  0.00559078
     3.86552   0.0268848   0.0388663  0.00525012
     4.05408  0.00827413   0.0366476  0.00708576
     4.24264           0    0.021774  0.00385138
      4.4312           0   0.0169954  0.00387248
     4.61976           0   0.0150234  0.00385322
     4.80833           0  0.00981447  0.00426195
     4.99689           0   0.0203461  0.00897678
     5.18545           0  0.00324349  0.00120648
     5.37401           0  0.00712534  0.00322165
     5.56257           0   0.0100122  0.00403355
#blocco numero 20
   0.0942809   0.0131846   0.0051523   0.0010097
    0.282843   0.0484663   0.0414455  0.00508654
    0.471405    0.107736    0.125805   0.0172062
    0.659966    0.140857     0.19012   0.0151277
    0.848528    0.242307    0.295492   0.0116992
     1.03709    0.359053    0.428126   0.0122215
     1.22565    0.371722    0.464213   0.0114598
     1.41421    0.535781    0.493729   0.0152598
     1.60278     0.63949    0.481572   0.0164887
     1.79134    0.569221    0.451621    0.011114
      1.9799    0.437129    0.422577   0.0128947
     2.16846    0.401774     0.36793   0.0161741
     2.35702    0.282499    0.334969   0.0175329
     2.54558    0.204791    0.254387   0.0179839
     2.73415    0.248568    0.210621  0.00907546
     2.92271    0.220603     0.19222   0.0141227
     3.11127    0.198432    0.141252   0.0113017
     3.29983   0.0987494    0.092178  0.00739362
     3.48839   0.0782973   0.0612421  0.00664512
     3.67696    0.050676   0.0453825  0.00531818
     3.86552   0.0486627   0.0393561  0.00501041
     4.05408   0.0053033   0.0350804  0.00690261
     4.24264           0   0.0206853  0.00380958
      4.4312           0   0.0161456  0.00377094
     4.61976           0   0.0142723  0.00373306
     4.80833           0  0.00932374  0.00407701
     4.99689           0   0.0193288  0.00858539
     5.18545           0  0.00308132    0.001157
     5.37401           0  0.00676907  0.00308021
     5.56257           0  0.00951157  0.00386282
